LocationID,DateTime,Weather,WeatherCode,AirTempF,PrecipProbability,WindSpeedMph,WindDirectionDeg,WaterTempF,SwellHeightFt,SwellDirectionDeg,SwellPeriodSec,WaveEnergyKJ,TideHeightFt,DataType
64TH_PLACE,2026-08-14 0:00:00,Cloudy,3,69.2,0,5,257,72.3,1.706,202,11.75,74.66098373,5.361,Historical
64TH_PLACE,2026-08-14 1:00:00,Cloudy,3,69.1,0,3,257,72.2,1.706,202,11.7,74.02692304,3.973,Historical
64TH_PLACE,2026-08-14 2:00:00,Cloudy,3,69.4,0,2.7,261,72.2,1.706,202,11.65,73.39556624,2.322,Historical
64TH_PLACE,2026-08-14 3:00:00,Cloudy,3,69.3,0,3.2,304,72.1,1.706,202,11.6,72.76691332,0.772,Historical
64TH_PLACE,2026-08-14 4:00:00,Cloudy,3,69.9,0,2.2,307,72.1,1.706,202,11.5,71.51771914,-0.337,Historical
64TH_PLACE,2026-08-14 5:00:00,Cloudy,3,70,0,1.7,293,72.1,1.706,202,11.4,70.27934048,-0.772,Historical
64TH_PLACE,2026-08-14 6:00:00,Cloudy,3,69.7,0,2.6,218,72.1,1.706,201,11.2,67.83502978,-0.462,Historical
64TH_PLACE,2026-08-14 7:00:00,Cloudy,3,69.6,0,2.1,238,72.2,1.706,199,10.95,64.84047878,0.49,Historical
64TH_PLACE,2026-08-14 8:00:00,Cloudy,3,71.1,0,0.7,198,72.2,1.706,198,10.85,63.66158557,1.83,Historical
64TH_PLACE,2026-08-14 9:00:00,Cloudy,3,72.9,0,1.6,124,72.3,1.706,197,10.95,64.84047878,3.225,Historical
64TH_PLACE,2026-08-14 10:00:00,Cloudy,3,72.3,0,3.7,197,72.4,1.64,196,11.2,62.68789147,4.341,Historical
64TH_PLACE,2026-08-14 11:00:00,Cloudy,3,74.2,0,5.2,200,72.5,1.64,195,11.4,64.9467345,4.927,Historical
64TH_PLACE,2026-08-14 12:00:00,Partly Cloudy,2,76.3,0,8.1,217,72.6,1.64,196,11.45,65.51769206,4.875,Historical
64TH_PLACE,2026-08-14 13:00:00,Sunny,0,78.7,0,9.5,221,72.7,1.64,196,11.4,64.9467345,4.245,Historical
64TH_PLACE,2026-08-14 14:00:00,Sunny,0,79.1,0,8.9,217,72.9,1.64,197,11.4,64.9467345,3.244,Historical
64TH_PLACE,2026-08-14 15:00:00,Sunny,0,78.7,0,10,226,73,1.64,196,11.4,64.9467345,2.174,Historical
64TH_PLACE,2026-08-14 16:00:00,Sunny,0,79.7,0,10.6,229,73,1.575,195,11.45,60.42713595,1.348,Historical
64TH_PLACE,2026-08-14 17:00:00,Sunny,0,79.3,0,9,261,73,1.575,194,11.7,63.09468271,1.01,Historical
64TH_PLACE,2026-08-14 18:00:00,Partly Cloudy,1,77.5,0,8.1,272,73,1.706,194,12.45,83.8217411,1.272,Historical
64TH_PLACE,2026-08-14 19:00:00,Partly Cloudy,2,74.4,0,7.6,294,72.9,1.772,194,13.45,105.5436052,2.078,Historical
64TH_PLACE,2026-08-14 20:00:00,Sunny,0,72,0,7.1,298,72.8,1.903,194,14.05,132.8281568,3.226,Historical
64TH_PLACE,2026-08-14 21:00:00,Partly Cloudy,1,70.2,0,6.5,297,72.6,1.969,194,13.9,139.1813209,4.416,Historical
64TH_PLACE,2026-08-14 22:00:00,Sunny,0,70,0,4.7,295,72.4,2.034,194,13.4,138.0293411,5.327,Historical
